docs,validdate,text
AkadGrAuslHsStV.html,07.11.1995,"
    Abkommen zwischen den Ländern in der Bundesrepublik Deutschland über die Genehmigung zur Führung akademischer Grade ausländischer Hochschulen und entsprechender ausländischer GradeVom 29. Oktober 1992[1]
    Vollzitat nach RedR: Abkommen über die Genehmigung zur Führung akademischer Grade ausländischer Hochschulen und entsprechender ausländischer Grade vom 29. Oktober 1992 (GVBl. 1993 S. 409, 1996 S. 2, BayRS 02-8-WK)
    Die Länder Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein und Thüringen schließen folgendes Abkommen:
    
    
    
    
    
    
  [1] Das Abkommen wurde ratifiziert in:Baden-Württemberg: G v. 12.12.1994 (GBl. S. 644),Bayern: Bek. v. 12.6.1993 (GVBl. S. 409),Brandenburg: G v. 19.10.1993 (GVBl. I S. 458),Hamburg: G v. 1.11.1993 (GVBl. S. 295),Hessen: G v. 1.12.1993 (GVBl. I S. 606),Nordrhein-Westfalen: Bek. v. 15.6.1993 (GV. NRW. S. 339),Rheinland-Pfalz: G v. 14.7.1993 (GVBl. S. 392),Sachsen: G v. 27.9.1995 (SächsGVBl. S. 327),Sachsen-Anhalt: G v. 10.11.1993 (GVBl. LSA S. 696).
"
BayAbfZustV.html,01.06.2022,"
    
    Abfallzuständigkeitsverordnung (AbfZustV)Vom 17. Mai 2022(GVBl. S. 226)BayRS 2129-2-1-1-U 
    Vollzitat nach RedR: Abfallzuständigkeitsverordnung (AbfZustV) vom 17. Mai 2022 (GVBl. S. 226, BayRS 2129-2-1-1-U)
    
      Es verordnen
      –
        
          die Bayerische Staatsregierung auf Grund
          –
            
              des Art. 1 Abs. 2 des Zuständigkeitsgesetzes (ZustG) vom 7. Mai 2013 (GVBl. S. 246, BayRS 2015-1-V), das zuletzt durch § 1 Abs. 36 der Verordnung vom 26. März 2019 (GVBl. S. 98) geändert worden ist, und
            
            
            –
            
              des Art. 11 Abs. 1 Satz 2 des Bayerischen Abfallwirtschaftsgesetzes (BayAbfG) in der Fassung der Bekanntmachung vom 9. August 1996 (GVBl. S. 396, 449, BayRS 2129-2-1-U), das zuletzt durch § 2 des Gesetzes vom 25. Mai 2021 (GVBl. S. 286) geändert worden ist,
            
            
          
        
      und
      –
        
          das Bayerische Staatsministerium für Umwelt und Verbraucherschutz auf Grund des Art. 25 Abs. 2 des Bayerischen Abfallwirtschaftsgesetzes (BayAbfG) in der Fassung der Bekanntmachung vom 9. August 1996 (GVBl. S. 396, 449, BayRS 2129-2-1-U), das zuletzt durch § 2 des Gesetzes vom 25. Mai 2021 (GVBl. S. 286) geändert worden ist:
        
        
      
    
    
    
    
    
  
"
BayAbmG.html,01.05.2019,"
    
    Gesetz über die Abmarkung der Grundstücke (Abmarkungsgesetz – AbmG)Vom 6. August 1981(BayRS III S. 690)BayRS 219-2-F 
    Vollzitat nach RedR: Abmarkungsgesetz (AbmG) in der in der Bayerischen Rechtssammlung (BayRS 219-2-F) veröffentlichten bereinigten Fassung, das zuletzt durch § 1 Abs. 182 der Verordnung vom 26. März 2019 (GVBl. S. 98) geändert worden ist
    
    
    
    
    
    
    
    
  
"
BayABOB.html,01.01.2002,"
    
    Allgemeine Benützungsordnung der Bayerischen Staatlichen Bibliotheken (ABOB)Vom 18. August 1993(GVBl. S. 635)BayRS 2240-3-WK 
    Vollzitat nach RedR: Allgemeine Benützungsordnung der Bayerischen Staatlichen Bibliotheken (ABOB) vom 18. August 1993 (GVBl. S. 635, BayRS 2240-3-WK), die zuletzt durch § 1 Abs. 253 der Verordnung vom 26. März 2019 (GVBl. S. 98) geändert worden ist
    
      Auf Grund des § 1 der Verordnung über die Einrichtung der staatlichen Behörden und des Art. 32 Abs. 5 Satz 6 des Bayerischen Hochschulgesetzes sowie des Art. 25 Abs. 1 Satz 1 Nr. 1 des Kostengesetzes erläßt das Bayerische Staatsministerium für Unterricht, Kultus, Wissenschaft und Kunst soweit erforderlich im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen folgende Verordnung:
    
    
    
    
    
    
    
    
    
    
  
"
BayAGO.html,01.01.2022,"
    
    Allgemeine Geschäftsordnung für die Behörden des Freistaates Bayern (AGO)Vom 12. Dezember 2000(GVBl. S. 873; 2001 S. 28)BayRS 200-21-I 
    Vollzitat nach RedR: Allgemeine Geschäftsordnung für die Behörden des Freistaates Bayern (AGO) vom 12. Dezember 2000 (GVBl. S. 873; 2001 S. 28 BayRS 200-21-I), die zuletzt durch Bekanntmachung vom 14. Dezember 2021 (GVBl. S. 695) geändert worden ist
    
      Auf Grund des Art. 43 Abs. 1 der Verfassung erlässt die Bayerische Staatsregierung folgende Allgemeine Geschäftsordnung:
    
    
    
    
    
    
    
    
    
    
  
"
BayAktO.html,01.01.2020,"
    
  
  
  
    
      
      
        3003.3-JAktenordnung (AktO) für die Geschäftsstellen der Gerichte der ordentlichen Gerichtsbarkeit und der Staatsanwaltschaften (AktO)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums der Justizvom 13. Dezember 1983, Az. Az. 1454 - I - 236/83
        (JMBl. 1984 S. 13)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Justiz über die Aktenordnung (AktO) für die Geschäftsstellen der Gerichte der ordentlichen Gerichtsbarkeit und der Staatsanwaltschaften vom 13. Dezember 1983 (JMBl. 1984 S. 13), die zuletzt durch Bekanntmachung vom 18. Dezember 2019 (BayMBl. 2020 Nr. 25) geändert worden ist
        
        
        
        
        
      
    
  

"
BayAlmG.html,01.01.2002,"
    
    Gesetz über den Schutz der Almen und die Förderung der Almwirtschaft (Almgesetz) Vom 28. April 1932BayRS 7817-2-L 
    Vollzitat nach RedR: Almgesetz in der in der Bayerischen Rechtssammlung (BayRS 7817-2-L) veröffentlichten bereinigten Fassung, das durch § 59 des Gesetzes vom 24. April 2001 (GVBl. S. 140) geändert worden ist
    
    
    
    
    
    
    
    
    
    
  
"
BayAPO.html,01.11.2019,"
    
    Allgemeine Prüfungsordnung (APO)In der Fassung der Bekanntmachung vom 14. Februar 1984(GVBl. S. 76) BayRS 2030-2-10-F 
    Vollzitat nach RedR: Allgemeine Prüfungsordnung (APO) in der Fassung der Bekanntmachung vom 14. Februar 1984 (GVBl. S. 76, BayRS 2030-2-10-F), die zuletzt durch § 4 der Verordnung vom 1. Oktober 2019 (GVBl. S. 594) geändert worden ist
    
      Auf Grund des Art. 115 Abs. 2 Satz 2 des Bayerischen Beamtengesetzes (BayBG) erläßt die Bayerische Staatsregierung im Benehmen mit dem Landespersonalausschuß folgende Verordnung:
    
    
    
    
    
    
    
    
  
"
BayAVVForst.html,01.11.2014,"
    
  
  
  
    
      
      
        2038.3.9-LAllgemeine Verwaltungsvorschrift über die Forstdiensttauglichkeit (AVV Forst)
        
					
					Bekanntmachung des Bayerischen Staatsministeriums für Ernährung, Landwirtschaft und Forstenvom 9. Oktober 2014, Az. F6-0410.1-1/182
        (AllMBl. S. 475)
        Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums für Ernährung, Landwirtschaft und Forsten über die Allgemeine Verwaltungsvorschrift über die Forstdiensttauglichkeit (AVV Forst) vom 9. Oktober 2014 (AllMBl. S. 475)
        
          
			Auf Grund des § 3 Abs. 7 der Zulassungs-, Ausbildungs- und Prüfungsordnung für den gehobenen technischen und höheren Forstdienst (ZAPOgtF/hF) vom 2. Juli 2010 (GVBl S. 380, BayRS 2038-3-7-15-L) erlässt das Bayerische Staatsministerium für Ernährung, Landwirtschaft und Forsten im Einvernehmen mit dem Bayerischen Staatsministerium der Finanzen, für Landesentwicklung und Heimat und dem Bayerischen Staatsministerium für Gesundheit und Pflege folgende Allgemeine Verwaltungsvorschrift:
		
    
  

"
BayEBekMiZi.html,01.10.2009,"
    
     3004.0-J Anordnung über Mitteilungen in Zivilsachen (MiZi) Bekanntmachung des Bayerischen Staatsministeriums der Justizvom 11. Mai 1998, Az. 1432 - I - 784/96(JMBl. S. 64)
    Zitiervorschlag: Bekanntmachung des Bayerischen Staatsministeriums der Justiz über die Anordnung über Mitteilungen in Zivilsachen (EBek MiZiMiZi) vom 11. Mai 1998 (JMBl. S. 64), die zuletzt durch Bekanntmachung vom 13. September 2021 (BayMBl. Nr. 688) geändert worden ist
    
    
    
  
"
